clauses,fairness level
"collects all data you send (username, email, credit card number...), any kind of info other put about you as well. plus all info about your device: ""attributes such as the operating system, hardware version, device settings, file and software names and types, battery and signal strength, and device identifiers. device locations, including specific geographic locations, such as through gps, bluetooth, or wifi signals. connection information such as the name of your mobile operator or isp, browser type, language and time zone, mobile phone number and ip address",1
"when you go to a website with a like button, we need to know who you are in order to show you what your facebook friends have liked on that site. the data we receive includes your user id, the website you're visiting, the date and time and other browser-related info",1
our systems automatically process content and communications you and others provide to analyze context and what's in them for the purposes described below.,1
"facebook uses cookies and receives information when you visit those sites and apps, including device information and information about your activity, without any further action from you. this occurs whether or not you have a facebook account or are logged in.",1
"information collected by these third-party services is subject to their own terms and policies, not this one.",1
"you should know that we may need to change the username for your account in certain circumstances (for example, if someone else claims the username and it appears unrelated to the name you use in everyday life).",1
"this can include information in or about the content you provide (like metadata), such as the location of a photo or the date a file was created.",1
"information from partners. advertisers, app developers, and publishers can send us information through facebook business tools they use, including our social plug-ins (such as the like button), facebook login, our apis and sdks, or the facebook pixel",1
"these partners provide information about your activities off facebookâ€”including information about your device, websites you visit, purchases you make, the ads you see, and how you use their servicesâ€”whether or not you have a facebook account or are logged into facebook.",1
you will not transfer any of your rights or obligations under these terms to anyone else without our consent.,1
we use cookies to better understand how people use the facebook products so that we can improve them,1
certain parts of the facebook products may not work properly if you have disabled browser cookie use. please be aware these controls are distinct from the controls that facebook offers you.,1
create only one account (your own) and use your timeline for personal purposes.,1
"if you delete or we disable your account, these terms shall terminate as an agreement between you and us, but the following provisions will remain in place",1
"if we determine that you have clearly, seriously or repeatedly breached our terms or policies, including in particular our community standards, we may suspend or permanently disable access to your account. we may also suspend or disable your account if you repeatedly infringe other peopleâ€™s intellectual property rights or where we are required to do so for legal reasons.",1
content you delete may continue to appear if you have shared it with others and they have not deleted it.,1
you can opt out of seeing online interest-based ads from facebook and other participating companies,0
you own the intellectual property rights (things like copyright or trademarks) in any such content that you create and share on facebook and the other facebook company products you use.,0
"you are free to share your content with anyone else, wherever you want.",0
"to delete your account at any time, please visit the facebook settings and instagram settings.",0
"our business partners may also choose to share information with facebook from cookies set in their own websites' domains, whether or not you have a facebook account or are logged in",1
"you can review your off-facebook activity, which is a summary of activity that businesses and organizations share with us about your interactions with them, such as visiting their apps or websites. they use our business tools, like facebook pixel, to share this information with us",1
"when people stand behind their opinions and actions, our community is safer and more accountable. for this reason, you must:  use the same name that you use in everyday life. provide accurate information about yourself",1
"if any portion of these terms is found to be unenforceable, the remaining portion will remain in full force and effect.",1
"if any portion of these terms is found to be unenforceable, the remaining portion will remain in full force and effect",1
we don't sell your personal data.,0
"we allow advertisers to tell us things like their business goal, and the kind of audience they want to see their ads (for example, people between the age of 18-35 who like cycling)",1
"we want people to use facebook to express themselves and to share content that is important to them, but not at the expense of the safety and well-being of others or the integrity of our community.",1
you may not access or collect data from our products using automated means (without our prior permission),1
"product research and development: we use the information we have to develop, test and improve our products, including by conducting surveys and research, and testing and troubleshooting new products and features.",1
"information you allow us to receive through device settings you turn on, such as access to your gps location, camera or photos.",1
"if you have it turned on, we use face recognition technology to recognize you in photos, videos and camera experiences",1
we also receive information about your online and offline actions and purchases from third-party data providers who have the rights to provide us with your information.,1
"when you share and communicate using our products, you choose the audience for what you share",0
"we require each of these partners to have lawful rights to collect, use and share your data before providing any data to us.",0
"we collect information about the people, pages, accounts, hashtags and groups you are connected to and how you interact with them across our products, such as people you communicate with the most or groups you are part of",1
"we use the information we have about you-including information about your interests, actions and connections-to select and personalize ads, offers and other sponsored content that we show you.",1
how do we use this information? we use the information we have (subject to choices you make) as described below and to provide and support the facebook products and related services described in the facebook terms and instagram terms.,0
"we store data until it is no longer necessary to provide our services and facebook products, or until your account is deleted - whichever comes first.",1
"we delete that copy 30 days after review, unless otherwise stated.",1
"we also process information about you across the facebook companies for these purposes, as permitted by applicable law and in accordance with their terms and policies",1
"if the ownership or control of all or part of our products or their assets changes, we may transfer your information to the new owner.",1
"location-related information can be based on things like precise device location (if you've allowed us to collect it), ip addresses, and information from your and others' use of facebook products",1
"you agree to defend, indemnify and hold harmless cnn, its affiliates and their respective directors, officers, employees and agents from and against all claims and expenses, including attorneys' fees, arising out of the use of the site by you or your account.",1
cnn reserves the right in its sole discretion to remove or edit user content by you,1
"you agree not to upload, post or otherwise transmit any user content that: violates or infringes in any way upon the rights of others, including any statements which may defame, harass, stalk or threaten others.",1
you forever waive and agree not to claim or assert any entitlement to any and all moral rights of an author in any of the user content.,1
"you agree that, by entering into this agreement, you and we are each waiving the right to a trial by jury or to participate in a class action.",1
any conduct that in cnn's sole discretion restricts or inhibits anyone else from using or enjoying the site will not be permitted.,1
"you shall be responsible for protecting the confidentiality of your user name(s) or password(s), if any. you are responsible for all use of your account, regardless of whether you authorized such access or use",1
"if any part of these terms of use is found by a court of competent jurisdiction to be invalid or unenforceable, it will be replaced with language reflecting the original purpose in a valid and enforceable manner.",1
no waiver by either party of any breach or default hereunder shall be deemed to be a waiver of any preceding or subsequent breach or default.,1
"in the unlikely event that you're not satisfied with customer service's solution (or if cnn has not been able to resolve a dispute it has with you after attempting to do so informally), we each agree to resolve those disputes through binding arbitration or small claims court instead of in courts of general jurisdiction",1
"any and all disputes, claims and controversies arising out of or in connection with your access to, and/or use of the sites, and/or the provision of content, services, and/or technology on or through the sites shall be governed by and construed exclusively",1
"advocates violent behavior. poses a reasonable threat to personal or public safety. contains violent images of killing or physical abuse that appear to have been captured solely, or principally, for exploitive, prurient, or gratuitous purposes.",1
"changes to terms of use. cnn may modify the terms of use, or any part thereof, or add or remove terms at any time, and such modifications, additions or deletions will be effective immediately upon posting",1
"you agree not to use any service, technology or automated system to artificially inflate the page views that your user content receives. this includes pay-per-click services, web ""robots"" and any other current or future technologies",1
"please note that we may combine information that we collect via one source (e.g. a warnermedia website) with information we collect via another source (e.g. a mobile app), including with information possibly collected by a different warnermedia company or a third party",1
"information about your location, including where it is derived from device information (such as an ip address or country code), your device's interactions with our digital services, or, with your consent, information about your device's precise location (e.g. geolocation via mobile devices). ",1
"we may also use ugc for marketing or advertising purposes, subject to the relevant terms and conditions of the offering",1
"we may use your information for the purpose of marketing and/or advertising our offerings and those of our clients and partners. warnermedia uses adtech technologies, such as real-time bidding, to monetize advertising space within its digital services and/or to create a 'profile' based on information about your interactions with us",1
"information you provide when participating in consumer surveys, research studies or focus group tests, including online or written replies and where applicable the recording of your audio or video interviews. ",1
"in some offerings that include dynamic entertainment features, we may with your consent and in accordance with applicable law, collect information such as via facial scanning, eye tracking, or skin response that may be considered biometric.",1
"technical/usage information from your device, including the type of device, browser, unique device identifier, operating system, internet provider, mobile device identifier and/or mobile advertising identifier, connected device identifier (including that of a connected television), ip address, network attributes, television device and application attributes and settings, and other device or browser attributes and settings.",1
"our agents and contractors have access to information to help carry out the services they are performing for us, such as, but not limited to, fulfilment, creation, maintenance, hosting, and delivery of our offerings, conducting marketing",1
we do not control these third parties' use of personal information. we encourage you to read their privacy policies to learn about their data practices.,1
"information we may collect about you, from other sources, including friends: information from other sources. on occasion, we combine information with other online information we receive, including usage information about your interactions with other websites and with online advertising and media.",1
"we also supplement or combine information with information from a variety of other sources or outside records, including third-party data providers that provide us with information such as demographics, transaction and purchase history.",1
"we share certain information with third parties (e.g. other companies, retailers, research organizations, advertisers, ad agencies, advertising networks and platforms, participatory databases, publishers, and non-profit organizations) for processing generally in a hashed or de-identified form, to provide advertising to you based on your interests, including where applicable, through real-time bidding.",1
"we will also share your personal information with other third-party data controllers. the types of third parties your information may be shared with include: our resellers and other sales and advertising partners, retailers, research organizations, advertisers, ad agencies,",1
"we may combine information provided by you with information from third party sources, in accordance with applicable law.",1
we also disclose personal information to other companies in the adobe family and with advertising and sales partners consistent with your choices.,1
"we transfer your personal information to the us and other countries, which may be outside the country in which you live.",1
"you may use and access the services or software at your own discretion and risk, and you are solely responsible for any damage to your computer system or loss of data that results from the use of and access to any service or software",1
"emails we send you may include a technology (called a web beacon) that tells adobe whether you have received or opened the email, or clicked a link in the email.",1
"we encourage you to periodically review the adobe privacy center for the latest information on our privacy practices. under certain circumstances (for example with certain material changes) we will provide notice to you of these changes and, where required by applicable law, we will obtain your consent.",1
you must be 13 or older to register for an individual adobe id. schools that participate in the primary and secondary education named user offering may issue a child under 13 an enterprise-level adobe id,1
"if you reside in north america (inclusive of united states, canada, mexico, united states territories and possessions, and united states military bases wherever located), your relationship is with adobe inc., a united states company, and the terms are governed by the law of california, u.s.a.",0
"adobe advertises online in a variety of ways, including displaying adobe ads to you on other companies' websites and apps and on social media platforms, such as facebook and linkedin.",1
adobe websites use cookies and similar technologies provided by our own company (adobe experience cloud) and other companies that allow us to gather additional information to measure and improve the effectiveness of our advertising,1
"we employ administrative, technical, and physical security controls where appropriate, such as encryption",0
you may stop using the services and software at any time.,0
"your indemnification obligations, our warranty disclaimers and limitations of liabilities, and dispute resolution provisions stated in the terms will survive",1
our total liability in any matter arising out of or related to the terms is limited to the greater of (a) us $100. or (b) the aggregate amount that you paid for access to the services and software during the three-month period preceding the event giving rise to the liability.,1
"upon the expiration or termination of the terms, some or all of the services and software may cease to operate without prior notice.",1
"unless otherwise noted, the amended terms will be effective immediately, and your continued use of our services and software will confirm your acceptance of the changes",1
"solely for the purposes of operating or improving the services and software, when you upload content to the services or software, you grant us a nonexclusive, worldwide, royalty-free, sublicensable, and transferrable license to use, reproduce, publicly display, distribute, modify (so as to better showcase your content, for example), publicly perform, and translate the content.",0
"adobe may offer free memberships, offers, and trial memberships in its sole discretion. if access to the services or software is provided to you for free or for trial purposes, such access is governed by these terms. at any time prior to or during the free or trial period, adobe may, in its sole discretion, terminate the free or trial access without prior notice and without any liability to you",1
"if a dispute is not resolved within 30 days of receipt by us, any resulting legal actions must be resolved through final and binding arbitration, including any question of whether arbitration is required, except that you may assert claims in small claims court if your claims qualify",1
"you may only resolve disputes with us on an individual basis, and you may not bring a claim as a plaintiff or a class member in a class, consolidated, or representative action.",1
"sending you information about adobe products and services, special offers and similar information, and sharing your information with third parties for their own marketing purposes (where your consent is not required);",1
"if we merge with or are acquired by another company, sell an adobe website, app, or business unit, or if all or a substantial portion of our assets are acquired by another company, your information will likely be disclosed to our advisers and any prospective purchaser's advisers and will be one of the assets that is transferred to the new owner.",1
"we provide interactive features that engage with social media sites, such as facebook. if you use these features, these sites will send us personal information about you.",1
"we will also share your personal information with companies that help us run our business by processing personal information on behalf of adobe for the purposes identified above. such companies include providers of customer support services, payment processing services, fraud monitoring and prevention, email, social media, and other marketing platforms and service providers, and hosting services.",0
please be careful when you share your personal information. do not share anything you wouldnâ€™t want publicly known unless you are sure you are posting it within an app or website that allows you to control who sees what you post.,0
"we employ administrative, technical, and physical security controls where appropriate, such as encryption, 1-step verification,",0
"we may share or publish aggregate information that doesnâ€™t specifically identify you, such as statistical information about visitors to our websites or statistical information about how customers use the adobe experience cloud.",1
"when we have a good faith belief that we are required to provide information in response to a subpoena, court order, or other applicable law or legal process (learn more), or to respond to an emergency involving the danger of death or serious bodily harm;",1
"under the law of some jurisdictions, you may have the right to ask us for a copy of your personal information. to correct, delete or restrict (stop any active) processing of your personal information. and to obtain the personal information you provide to us for a contract or with your consent in a structured, machine readable format, and to ask us to share (port) this information to another controller.",0
"if you have unresolved concerns, you have the right to report them to your local privacy regulator or data protection authority and, where applicable, you also have the right to lodge a complaint with adobe ireland's lead supervisory authority, the irish data protection commission.",0
"in addition, most web browsers have a â€œdo not trackâ€ feature that lets you tell websites you do not want to have your online activities tracked. currently, there is not an accepted standard on how companies should respond to web browsersâ€™ â€œdo not trackâ€ signals",1
"when you close your account, we begin deleting certain personal information that we no longer have a business reason to retain, such as your hashed password and your tokenized payment account data. however, we typically retain personal information related to our contract and business transactions with you for seven years after your last interaction with us.",1
"we collect information about how you use our apps and websites, including when you use a desktop app feature that takes you online (such as a photo syncing feature). depending on the app or website, this information may be associated with your device or browser or it may be associated with your adobe account.",1
adobe websites use cookies and similar technologies provided by our own company (adobe experience cloud) and other companies that allow us to gather additional information to measure and improve the effectiveness of our advertising. we collect information such as: &nbsp;  which ads are displayed; which ads are clicked on. and&nbsp; where the ad was displayed,1
"if we do, we will change the ""last updated"" date at the top of this policy and the revised policy will be posted to this page so that you are aware of the information we collect, how we use it, and under what circumstances we may disclose it.",0
please note that websites and apps provided by some companies acquired by adobe may operate under their own privacy policies until their privacy practices are integrated with adobe's privacy practices.,1
"we collect information about how you use our apps and websites, including when you use a desktop app feature that takes you online (such as a photo syncing feature). depending on the app or website, this information may be associated with your device or browser or it may be associated with your adobe account. it includes: ip address",1
"any and all disputes arising out of this agreement, its termination, or our relationship with you shall be determined by binding arbitration under the arbitration act 1996 in auckland, new zealand, by one arbitrator who shall be a lawyer knowledgeable in relevant technology matters appointed by the president for the time being of the arbitratorsâ€™ and mediatorsâ€™ institute of new zealand incorporated (aminz) on a request by either you or us.",1
"we will charge the credit card associated with the business account with the applicable fees (including for any specified minimum) at the monthly billing date, on a recurring basis.",1
"when you use our services, our systems retain the following metadata in unencrypted form:   8.3.1 browser type and operating system of the devices from which you have logged in to mega.   8.3.1 ip address and port information for logins, api usage, file uploads, folder creations and link exports.",1
"all your files remain encrypted at all times while they are on our system. they are never received, stored or otherwise dealt with by us in unencrypted form because any decryption takes place only on your device or that of another user to whom you have provided the file/folder links and keys that are created when you give them access.",0
"do anything that would damage, disrupt or place an unreasonable burden on our service or anyone else's use of our service, including but not limited to denial of service attacks or similar. ",1
"you own, or undertake that you are authorised to use, any intellectual property in any data you store on, use, download, upload, share, access, transmit or otherwise make available to or from, our systems or using our services.",0
"you grant us a worldwide, royalty-free licence to use, store, back-up, copy, transmit, distribute, communicate, modify and otherwise make available, your data, solely for the purposes of enabling you and those you give access to, to use our services and for any other purpose related to provision of the services to you and them.",1
"we may, but shall not be obliged to, keep your files after your account has been suspended or terminated. in particular, we may, but shall not be obliged to, keep your files where we consider it necessary for evidential purposes relating to a breach of our cookie policy, terms or with respect to current or anticipated action by any competent enforcement authority or other third party.",1
every text message you send is stored as an encrypted binary large object (â€œblobâ€).,0
"where there is no enforcement action likely or commenced and the 11 month period has expired, or after such longer period as is applicable in the case of records of financial transactions relating to your account that we are legally required to retain, account data that identifies you will be anonymised, but where you are a contact of, have had a folder shared with you by, or have chatted with, another mega user, those details will continue to be retained to allow services to continue for those other users.",1
you can download your account data at https://mega.nz/fm/account/history while you are logged into your account. this will provide your account data but not your files.,0
"we will never sell your files, your chats, any account data or any usage data.",0
"we can change these terms at any time by providing you at least 30 days' prior notice of the change, whether via email or via a message in any service we provide.",0
"if you have paid for a subscription that is due to expire after that 30 day notice period and you do not wish to continue to use our services under the new terms, you may terminate your subscription before the new terms come into force. we will then (but not otherwise) refund the unexpired portion of your subscription payment within 30 days and close your account.",1
you should keep your password and recovery key safe and confidential. you must not share your password with anyone else and should not release encryption keys to anyone else unless you wish them to have access to your data.,1
we do not make any guarantees that there will be no loss of data or the services will be bug free.,1
"you can't, and will ensure that no users within a business account, of which you are administrator:   15.1 assign or transfer any rights you have under these terms to any other person (including by sharing your password with someone else) without our prior written consent.",1
"if you choose to stop using our services, you must download your data first because after account closure we may, if we wish, delete all your data.   if we suspend or terminate our services to you because you have breached these terms, or someone you have given access to has breached these terms, during the term of that suspension we may, if we wish, delete your data immediately or deny you access to your data but keep it for evidential purposes.",1
"prohbits to run any network scanning software, spiders, spyware, robots, open relay software or similar softwar",1
prohibits  to attempt to gain unauthorised access to any services other than those to which you have been given express permission to access.,1
we are not responsible if someone else gains access to your computer or other device and/or your mega password and/or encryption keys for any files.,1
"the open source code that we use, where we obtained it, and licences for that code, are all referenced on our websites and via our mobile apps.",0
you can request correction of account data if it is considered incorrect,0
"if you believe that your content has been copied or used in a way that constitutes copyright infringement, please provide us with the following information:",1
"we collect and keep usage data with your consent to provide services and support related to our services, for market and product research and to be able to give users promotional material and special offers on our services.",1
"we reserve the right to remove data alleged to be infringing without prior notice, at our sole discretion, and without liability to you.",1
you can terminate your access to our services at any time by following the 'cancel your account' link in the account section of our websites or the settings section of our mobile apps.,0
"if we think it is necessary or we are obliged by law in any jurisdiction, then we are entitled to give your files, your chats, any account data and any usage data to competent authorities, even if those items are encrypted",1
"we may send invoices, security or service updates and various other notices by email to the email address listed in your account or using any of our chat or messaging systems. they will be deemed to be received in accordance with our terms.",0
"based on the functionality they provide, we classify all the â€˜cookiesâ€™ we use (including browser cookies, local storage, web beacons, tracking urls and device identifiers) into the following categories: ",1
tracking urls  these are specially formatted urls that let us know when they have been clicked. they help us track things like when a particular link in an email is clicked on or which option on a webpage is chosen more often.,1
"one concrete way we commit to user privacy is by honoring do not track (â€œdntâ€) browser settings. thereâ€™s no consensus on how best to do this. but, we have adopted an approach that we believe honors the fundamental pro-privacy aims of the dnt standard.",0
"you may withdraw consent by deleting your account at any time through the settings page, or by going to settings and then selecting account within our app",0
"please note that if you choose to delete your account, we may continue to retain certain information about you as required by law or for our legitimate business purposes.",1
"we may share personal information in connection with, or during negotiations concerning, any merger, sale of company assets, financing, or acquisition of all or a portion of our business by another company.",1
we reserve the right to suspend or terminate your access to the services with or without notice.,1
"communicate with you about new content, products, services, and features offered by medium and provide other news and information we think will interest you",1
"if you sign up for a medium account, you may at any time request an export of your personal information from the settings page, or by going to settings and then selecting account within our app",0
"information collected includes:  device type and settings, such as hardware model and operating system version; log information, including details of how our service is used, device event information, and the device's internet protocol (ip) address; unique application numbers, such as application version number. and unique identifiers, which are used to collect and store information about an app or device, such as preferred language, app activity, and other settings",1
"app activity. this information includes the videos your child watches, their search terms, and other interactions with content and ads in the app",1
"we may provide individual user information to our affiliates or other trusted businesses or persons to process it for us, based on our instructions and in compliance with our privacy policy and any other appropriate confidentiality and security measures.",1
"you give us permission to use your name and profile picture and information about actions you have taken on facebook next to or in connection with ads, offers, and other sponsored content that we display across our products, without any compensation to you",1
"collects all data you send (username, email, credit card number...), any kind of info other put about you as well. plus all info about your device: ""attributes such as the operating system, hardware version, device settings, file and software names and types, battery and signal strength, and device identifiers. device locations, including specific geographic locations, such as through gps, bluetooth, or wifi signals. connection information such as the name of your mobile operator or isp, browser type, language and time zone, mobile phone number and ip address",1
"when you go to a website with a like button, we need to know who you are in order to show you what your facebook friends have liked on that site. the data we receive includes your user id, the website you're visiting, the date and time and other browser-related info",1
our systems automatically process content and communications you and others provide to analyze context and what's in them for the purposes described below.,1
"facebook uses cookies and receives information when you visit those sites and apps, including device information and information about your activity, without any further action from you. this occurs whether or not you have a facebook account or are logged in.",1
"information collected by these third-party services is subject to their own terms and policies, not this one.",1
"you should know that we may need to change the username for your account in certain circumstances (for example, if someone else claims the username and it appears unrelated to the name you use in everyday life).",1
"this can include information in or about the content you provide (like metadata), such as the location of a photo or the date a file was created.",1
"information from partners. advertisers, app developers, and publishers can send us information through facebook business tools they use, including our social plug-ins (such as the like button), facebook login, our apis and sdks, or the facebook pixel",1
"these partners provide information about your activities off facebookâ€”including information about your device, websites you visit, purchases you make, the ads you see, and how you use their servicesâ€”whether or not you have a facebook account or are logged into facebook.",1
you will not transfer any of your rights or obligations under these terms to anyone else without our consent.,1
we use cookies to better understand how people use the facebook products so that we can improve them,1
certain parts of the facebook products may not work properly if you have disabled browser cookie use. please be aware these controls are distinct from the controls that facebook offers you.,1
create only one account (your own) and use your timeline for personal purposes.,1
"if you delete or we disable your account, these terms shall terminate as an agreement between you and us, but the following provisions will remain in place",1
"if we determine that you have clearly, seriously or repeatedly breached our terms or policies, including in particular our community standards, we may suspend or permanently disable access to your account. we may also suspend or disable your account if you repeatedly infringe other peopleâ€™s intellectual property rights or where we are required to do so for legal reasons.",1
content you delete may continue to appear if you have shared it with others and they have not deleted it.,1
you can opt out of seeing online interest-based ads from facebook and other participating companies,0
you own the intellectual property rights (things like copyright or trademarks) in any such content that you create and share on facebook and the other facebook company products you use.,0
"you are free to share your content with anyone else, wherever you want.",0
"to delete your account at any time, please visit the facebook settings and instagram settings.",0
"our business partners may also choose to share information with facebook from cookies set in their own websites' domains, whether or not you have a facebook account or are logged in",1
"you can review your off-facebook activity, which is a summary of activity that businesses and organizations share with us about your interactions with them, such as visiting their apps or websites. they use our business tools, like facebook pixel, to share this information with us",1
"when people stand behind their opinions and actions, our community is safer and more accountable. for this reason, you must:  use the same name that you use in everyday life. provide accurate information about yourself",1
"if any portion of these terms is found to be unenforceable, the remaining portion will remain in full force and effect.",1
"if any portion of these terms is found to be unenforceable, the remaining portion will remain in full force and effect",1
we don't sell your personal data.,0
"we allow advertisers to tell us things like their business goal, and the kind of audience they want to see their ads (for example, people between the age of 18-35 who like cycling)",1
"we want people to use facebook to express themselves and to share content that is important to them, but not at the expense of the safety and well-being of others or the integrity of our community.",1
you may not access or collect data from our products using automated means (without our prior permission),1
"product research and development: we use the information we have to develop, test and improve our products, including by conducting surveys and research, and testing and troubleshooting new products and features.",1
"information you allow us to receive through device settings you turn on, such as access to your gps location, camera or photos.",1
"if you have it turned on, we use face recognition technology to recognize you in photos, videos and camera experiences",1
we also receive information about your online and offline actions and purchases from third-party data providers who have the rights to provide us with your information.,1
"when you share and communicate using our products, you choose the audience for what you share",0
"we require each of these partners to have lawful rights to collect, use and share your data before providing any data to us.",0
"we collect information about the people, pages, accounts, hashtags and groups you are connected to and how you interact with them across our products, such as people you communicate with the most or groups you are part of",1
"we use the information we have about you-including information about your interests, actions and connections-to select and personalize ads, offers and other sponsored content that we show you.",1
how do we use this information? we use the information we have (subject to choices you make) as described below and to provide and support the facebook products and related services described in the facebook terms and instagram terms.,0
"we store data until it is no longer necessary to provide our services and facebook products, or until your account is deleted - whichever comes first.",1
"we delete that copy 30 days after review, unless otherwise stated.",1
"we also process information about you across the facebook companies for these purposes, as permitted by applicable law and in accordance with their terms and policies",1
"if the ownership or control of all or part of our products or their assets changes, we may transfer your information to the new owner.",1
"location-related information can be based on things like precise device location (if you've allowed us to collect it), ip addresses, and information from your and others' use of facebook products",1
"you agree to defend, indemnify and hold harmless cnn, its affiliates and their respective directors, officers, employees and agents from and against all claims and expenses, including attorneys' fees, arising out of the use of the site by you or your account.",1
cnn reserves the right in its sole discretion to remove or edit user content by you,1
"you agree not to upload, post or otherwise transmit any user content that: violates or infringes in any way upon the rights of others, including any statements which may defame, harass, stalk or threaten others.",1
you forever waive and agree not to claim or assert any entitlement to any and all moral rights of an author in any of the user content.,1
"you agree that, by entering into this agreement, you and we are each waiving the right to a trial by jury or to participate in a class action.",1
any conduct that in cnn's sole discretion restricts or inhibits anyone else from using or enjoying the site will not be permitted.,1
"you shall be responsible for protecting the confidentiality of your user name(s) or password(s), if any. you are responsible for all use of your account, regardless of whether you authorized such access or use",1
"if any part of these terms of use is found by a court of competent jurisdiction to be invalid or unenforceable, it will be replaced with language reflecting the original purpose in a valid and enforceable manner.",1
no waiver by either party of any breach or default hereunder shall be deemed to be a waiver of any preceding or subsequent breach or default.,1
"in the unlikely event that you're not satisfied with customer service's solution (or if cnn has not been able to resolve a dispute it has with you after attempting to do so informally), we each agree to resolve those disputes through binding arbitration or small claims court instead of in courts of general jurisdiction",1
"any and all disputes, claims and controversies arising out of or in connection with your access to, and/or use of the sites, and/or the provision of content, services, and/or technology on or through the sites shall be governed by and construed exclusively",1
"advocates violent behavior. poses a reasonable threat to personal or public safety. contains violent images of killing or physical abuse that appear to have been captured solely, or principally, for exploitive, prurient, or gratuitous purposes.",1
"changes to terms of use. cnn may modify the terms of use, or any part thereof, or add or remove terms at any time, and such modifications, additions or deletions will be effective immediately upon posting",1
"you agree not to use any service, technology or automated system to artificially inflate the page views that your user content receives. this includes pay-per-click services, web ""robots"" and any other current or future technologies",1
"please note that we may combine information that we collect via one source (e.g. a warnermedia website) with information we collect via another source (e.g. a mobile app), including with information possibly collected by a different warnermedia company or a third party",1
"information about your location, including where it is derived from device information (such as an ip address or country code), your device's interactions with our digital services, or, with your consent, information about your device's precise location (e.g. geolocation via mobile devices). ",1
"we may also use ugc for marketing or advertising purposes, subject to the relevant terms and conditions of the offering",1
"we may use your information for the purpose of marketing and/or advertising our offerings and those of our clients and partners. warnermedia uses adtech technologies, such as real-time bidding, to monetize advertising space within its digital services and/or to create a 'profile' based on information about your interactions with us",1
"information you provide when participating in consumer surveys, research studies or focus group tests, including online or written replies and where applicable the recording of your audio or video interviews. ",1
"in some offerings that include dynamic entertainment features, we may with your consent and in accordance with applicable law, collect information such as via facial scanning, eye tracking, or skin response that may be considered biometric.",1
"technical/usage information from your device, including the type of device, browser, unique device identifier, operating system, internet provider, mobile device identifier and/or mobile advertising identifier, connected device identifier (including that of a connected television), ip address, network attributes, television device and application attributes and settings, and other device or browser attributes and settings.",1
